English,Chinese,Vietnamese
"Your current location is out of factory range, please return to the factory area to proceed signing.",您当前的位置已超出工厂范围，请返回工厂区域后再进行签名。,"Vị trí hiện tại của bạn nằm ngoài phạm vi nhà máy, vui lòng quay lại khu vực nhà máy để tiếp tục ký."
Sign Anyway,仍然·签署,Vẫn ký
Location Not Loaded Yet,尚未获取定位,Vị trí chưa được tải
We are still locating your position. Go back and wait or sign the report anyway.,正在定位中。请返回等待，或仍然签署报告。,Chúng tôi vẫn đang xác định vị trí của bạn. Vui lòng quay lại và chờ hoặc ký báo cáo.
Back,返回,Quay lại
Getting location data...,正在获取定位数据……,Đang nhận dữ liệu vị trí...
Successfully located your position,定位成功,Đã xác định vị trí thành công
Failed locating your position,定位失败,Không xác định được vị trí
Total QTY of Measurement Defects,测量缺陷总数,Tổng số lượng lỗi đo lường
Total Units with Measurement Defects,存在测量缺陷总数,Tổng số đơn vị có lỗi đo lường
Defect Quantity,缺陷数量,Số lượng lỗi
Quality Plan,质量计划,Kế hoạch chất lượng
Inspector,检查员,Người kiểm tra
Inspector Name,检查员姓名,Tên người kiểm tra
Quality Plan Summary,质量计划汇总 质量计划总结,Tóm tắt kế hoạch chất lượng
Final Validation,最终验证,Xác thực cuối cùng
Defect,缺陷,Lỗi
Inspected Qty (Pcs),已检查数量（件）,Số lượng đã kiểm tra (Chiếc)
Shipped Quantity Checking,出货数量检查,Kiểm tra số lượng đã vận chuyển
{} Code Captured,已捕获 {} 个代码,{} Mã đã thu thập
Scan the Code,扫描代码,Quét mã
Unsupported conflict type,不支持的冲突类型,Loại xung đột không được hỗ trợ
Deleted,已删除,Đã xóa
No defect found,未发现缺陷,Không tìm thấy lỗi
No local attachment found,未发现本地附件,Không tìm thấy tệp đính kèm cục bộ
Resume Editing,继续编辑,Tiếp tục chỉnh sửa
You will remove all signature and require to sign again if you resume editing this report. This cannot be undone.,如果继续编辑，将清除所有签名并需要重新签署。此操作不可撤销。,Bạn sẽ xóa toàn bộ chữ ký và cần phải ký lại nếu tiếp tục chỉnh sửa báo cáo này. Hành động này không thể hoàn tác.
Your Answer,您的答案,Câu trả lời của bạn
Sample Details,样品详情,Chi tiết mẫu
Carton Sample Details,纸箱样本详情,Chi tiết mẫu thùng carton
No Quality Plan,暂无质量计划,Không có kế hoạch chất lượng
Color Size,颜色尺寸,"Màu sắc, kích thước"
Discard Changes,放弃更改,Hủy thay đổi
Are you sure you want to discard your changes? Any unsaved changes will be lost.,您确定要放弃更改吗？所有未保存的更改将丢失。,Bạn có chắc chắn muốn hủy thay đổi không? Mọi thay đổi chưa lưu sẽ bị mất.
Reset Sample Distribution,重置样品分配,Đặt lại phân phối mẫu
Are you sure you want to reset sample distribution? This may affect existing sampling data.,您确定要重置样品分配吗？此操作可能影响现有抽样数据。,Bạn có chắc chắn muốn đặt lại phân phối mẫu không? Hành động này có thể ảnh hưởng đến dữ liệu mẫu hiện có.
Confirm Changes,确认更改,Xác nhận thay đổi
Do you confirm the changes in sample distribution quantity? This may affect existing sampling data.,是否确认样品分配数量的更改？此操作可能影响现有抽样数据。,Bạn có xác nhận những thay đổi về số lượng phân phối mẫu không? Điều này có thể ảnh hưởng đến dữ liệu lấy mẫu hiện có.
(Manual),（手动）,(Thủ công)
GPS Range Buffer,GPS 范围缓冲,Bộ đệm Phạm vi GPS
M,米,M
Available apk,可用APK安装包,Apk khả dụng
Admin Enable,管理员启用,Quản trị viên kích hoạt
Download apk in app,在应用内下载APK安装包,Tải xuống apk trong ứng dụng
Concurrent Editing switch,并发编辑开关,Công tắc Chỉnh sửa Đồng thời
(amfori) Overall Rating Percentage,（amfori）总体评分百分比,(amfori) Tỷ lệ đánh giá tổng thể
1 Report Per Booking,每次预订1份报告,1 báo cáo mỗi lượt đặt lịch
>Total Order Quantity,>订单总数量,>Tổng số lượng đặt hàng
AQL (Critical),AQL（严重）,AQL (Nghiêm trọng)
AQL (Major),AQL（主要）,AQL (Lớn)
AQL (Minor),AQL（次要）,AQL (Nhỏ)
Acceptable,可接受,Đạt
Acceptable Defects,可接受缺陷,Lỗi cho phép
Acceptable Rate (%),可接受率（%）,Tỷ lệ đạt (%)
Actions,操作,Hành động
Active,有效,Đang hoạt động
Actual Carton Quantity per Color/Size,每个颜色/尺寸的实际纸箱数量,Số lượng thùng thực tế cho mỗi màu/kích cỡ
Actual Defects,实际缺陷,Lỗi thực tế
Actual Effort (Hours),实际工时（小时）,Thời gian thực tế (giờ)
Actual Inspected Quantity,实际检验数量,Số lượng kiểm tra thực tế
Actual Packing Production Quantity,实际包装生产数量,Số lượng sản phẩm đóng gói thực tế
Actual Packing Sample Size,实际包装样本大小,Cỡ mẫu đóng gói thực tế
Actual Quantity per Color/Size,每个颜色/尺寸的实际数量,Số lượng thực tế (Màu/Size)
Add Barcode Scanned,添加扫描的条形码,Thêm mã vạch đã quét
Add Files,添加文件,Thêm tệp
Add Section,添加部分,Thêm phần
Add Shared File...,添加共享文件...,Thêm tệp được chia sẻ...
Add Shipment Items from Vendor PO,添加供应商采购订单的装运项目,Thêm mặt hàng từ PO Vendor
Add to Favorites,添加到收藏夹,Thêm vào yêu thích
Address,地址,Địa chỉ
Address2,地址2,Địa chỉ 2
Address3,地址3,Địa chỉ 3
Address4,地址4,Địa chỉ 4
Aggregate Defect Count to Conclusion,将缺陷数量汇总到结论,Tổng số lỗi để đưa ra kết luận
Aggregate Defect Result,汇总缺陷结果,Kết quả lỗi tổng hợp
Aggregated Defect Count,汇总的缺陷数量,Tổng số lỗi
Allow Realtime Update,允许实时更新,Cập nhật thời gian thực
Alt. Currency,备用货币,Tiền tệ thay thế
Amend,修改,Sửa đổi
Apply Expiry Date By,应用到期日依据,Áp dụng ngày hết hạn trước
Apply Expiry Date Upon,应用到期日时机,Áp dụng ngày hết hạn vào
Apply Overall Rating,应用整体评分,Áp dụng đánh giá chung
Apply Result Fail if Defect Rate Exceeds,如果缺陷率有超过，则应用结果不合格,Thất bại nếu tỷ lệ lỗi vượt mức
Apply To,应用于,Áp dụng cho
Approval,批准,Phê duyệt
Approve,批准,Phê duyệt
Are you sure to refresh the point of measurements & measurement details from the latest item measurement?,您确定要从最新项目测量中刷新测量点和测量详情吗？,Bạn có chắc muốn làm mới điểm đo và chi tiết đo lường từ dữ liệu mẫu mới nhất?
Attachment Type Lookup,附件类型查找,Tra cứu loại tệp đính kèm
Attachment(s),附件,Tệp đính kèm
Audit Card Details,审核卡详情,Chi tiết Thẻ Kiểm toán
Audit Details,审核详情,Chi tiết kiểm toán
Audit Expire After (Months),审核有效期（月）,Kiểm toán hết hạn sau (tháng)
Audit Office,审核办公室,Văn phòng Kiểm toán
Audit Parties,审核方,Bên kiểm toán
Audit Result Book Name,审核结果簿名称,Tên sổ kết quả kiểm toán
Audit Template,审核模板,Mẫu kiểm toán
Audit Templete Lookup,审核模板查找,Tra cứu mẫu kiểm toán
Auditor Disclaimer,审核员免责声明,Tuyên bố miễn trừ trách nhiệm của kiểm toán viên
Auditor Disclaimer Acceptance,审核员免责声明接受,Chấp nhận miễn trừ trách nhiệm (Kiểm toán)
Auditor Signed Location,审核员签署地点,Địa điểm đã ký của kiểm toán viên
Auditor Signed On,审核员签署日期,Ngày ký (Kiểm toán viên)
Auto Apply Expiry Date Setting,自动应用到期日设置,Tự động áp dụng ngày hết hạn
Barcode,条形码,Mã vạch
Barcode Comments,条形码注释,Nhận xét mã vạch
Barcode Result,条形码结果,Kết quả mã vạch
Barcode Scanned,条形码扫描,Mã vạch đã được quét
Barcode Summary,条形码摘要,Tóm tắt mã vạch
Booking Card Details,预订卡详情,Chi tiết thẻ đặt lịch
Booking Carton Quantity,预订纸箱数量,Số thùng đặt lịch
Booking Carton Quantity per Color/Size,每个颜色/尺寸的预订纸箱数量,Số thùng đặt lịch theo màu/size
Booking Quantity,预订数量,Số lượng đặt lịch
Booking Quantity per Color/Size,每个颜色/尺寸的预订数量,Số lượng đặt lịch theo màu/size
Calculated Cost,计算成本,Chi phí đã tính
Calculated Defects,计算缺陷,Lỗi đã tính
Calculated Inspected Quantity,计算检验数量,Số lượng kiểm tra dự tính
Calculated Packing Sample Size,计算包装样本大小,Cỡ mẫu đóng gói dự tính
Cancelled,已取消,Đã hủy
Carton Defect Details,纸箱缺陷详情,Chi tiết lỗi thùng carton
Carton Detail List,纸箱详情列表,Danh sách chi tiết thùng carton
Carton Details,纸箱详情,Chi tiết thùng carton
Carton No. From,纸箱编号开始于,Số thùng carton từ
Carton No. To,纸箱编号结束于,Số thùng carton đến
Carton Size Breakdown,纸箱尺寸明细,Phân loại kích thước thùng carton
Checked Qty,已检查数量,Số lượng đã kiểm tra
Checklists,检查清单,Danh sách kiểm tra
Checklists Additional Information,检查清单附加信息,Danh sách kiểm tra Thông tin bổ sung
Checklists Details,检查清单详情,Chi tiết danh sách kiểm tra
Checklists Information,检查清单信息,Thông tin danh sách kiểm tra
Child Level,子级别,Cấp con
Classification,分类,Phân loại
Clear Prices,清除价格,Xóa giá
Code List Lookup,代码列表查找,Tra cứu danh sách mã
Color / Pattern,颜色/图案,Màu sắc / Họa tiết
Color Chip,色卡,Chip màu
Color(Hex),颜色（十六进制）,Màu (Hệ thập lục phân)
Color/Pattern (name),颜色/图案（名称）,Màu sắc/Họa tiết (tên)
Color/Pattern Image,颜色/图案图片,Hình ảnh màu sắc/mẫu
Color:,颜色：,Màu sắc:
Column Page:,列页：,Trang cột:
Company ID,公司ID,ID công ty
Company Name,公司名称,Tên công ty
Company Type,公司类型,Loại hình công ty
Complete Date,完成日期,Ngày hoàn thành
Conclusion Setting,结论设置,Cài đặt kết luận
Condition,条件,Điều kiện
Conditions,条件,Điều kiện
Confirmed,已确认,Đã xác nhận
Contact Department,联系部门,Bộ phận liên hệ
Contact Email(s),联系电子邮件,Địa chỉ email liên hệ
Contact Person Tel,联系人电话,Người liên hệ (Số điện thoại)
Contact Person Tel.,联系人电话,Người liên hệ (Số điện thoại):
Contact Phone,联系电话,Số điện thoại liên hệ
Contact Position,联系职位,Chức danh liên hệ
Copy,复制,Sao chép
Corrective Actions Summary,纠正措施摘要,Tóm tắt biện pháp khắc phục
Cost,成本,Chi phí
Cost Additional Information,成本附加信息,Thông tin bổ sung về chi phí
Cost Summary,成本摘要,Tóm tắt chi phí
Costs,成本,Chi phí
Count,计数,Số lượng
Country / Location,国家/地点,Quốc gia / Vị trí
Country/Region,国家/地区,Quốc gia/Khu vực
Currency,货币,Tiền tệ
Custom,自定义,Tuỳ chỉnh
Custom Action,自定义操作,Hành động tùy chỉnh
Custom Export,自定义导出,Xuất khẩu tùy chỉnh
Custom Print,自定义打印,Bản in tùy chỉnh
Custom Status,自定义状态,Trạng thái tùy chỉnh
Customer ID,客户ID,ID Khách hàng
Customer Lookup,客户查找,Tra cứu khách hàng
Customer Name,客户名称,Tên khách hàng
Default Actual Sample Size,默认实际样本大小,Cỡ mẫu thực tế mặc định
Default Calculated Sample Size,默认计算样本大小,Cỡ mẫu tính toán mặc định
Default Overall Score Weighting,默认整体分数权重,Trọng số điểm tổng mặc định
Default Sampling Rule,默认抽样规则,Quy tắc lấy mẫu mặc định
Default Sequence,默认序列,Trình tự mặc định
Defect AQL (Critical),缺陷AQL（严重）,AQL lỗi (Nghiêm trọng)
Defect AQL (Major),缺陷AQL（主要）,AQL lỗi (Lớn)
Defect AQL (Minor),缺陷AQL（次要）,AQL lỗi (Nhỏ)
Defect Actual Sample Size,缺陷实际样本大小,Cỡ mẫu lỗi thực tế
Defect Calculated Sample Size,缺陷计算样本大小,Cỡ mẫu lỗi tính toán
Defect Critical (Acceptable Defects),缺陷严重（可接受缺陷）,Lỗi nghiêm trọng (Cho phép)
Defect Critical (Actual Defects),缺陷严重（实际缺陷）,Lỗi nghiêm trọng (Lỗi thực tế)
Defect Critical (Calculated Defects),缺陷严重（计算缺陷）,Lỗi nghiêm trọng (Dự tính)
Defect Inspection Level,缺陷检验级别,Cấp độ kiểm tra lỗi
Defect Level,缺陷级别,Cấp độ lỗi
Defect Major (Acceptable Defects),缺陷主要（可接受缺陷）,Lỗi lớn (Cho phép)
Defect Major (Actual Defects),缺陷主要（实际缺陷）,Lỗi lớn (Lỗi thực tế)
Defect Major (Calculated Defects),缺陷主要（计算缺陷）,Lỗi lớn (Dự tính)
Defect Minor (Acceptable Defects),缺陷次要（可接受缺陷）,Lỗi nhỏ (Cho phép)
Defect Minor (Actual Defects),缺陷次要（实际缺陷）,Lỗi nhỏ (Lỗi thực tế)
Defect Minor (Calculated Defects),缺陷次要（计算缺陷）,Lỗi nhỏ (Dự tính)
Defect Rate Denominator (Y),缺陷率分母（Y）,Mẫu số tỷ lệ lỗi (Y)
Defect Rate Numerator (X),缺陷率分子（X）,Tử số tỷ lệ lỗi (X)
Defect Sampling Rule,缺陷抽样规则,Quy tắc lấy mẫu lỗi
Defect Sampling Rule: Allow Realtime Update,缺陷抽样规则：允许实时更新,Cập nhật thời gian thực (Lấy mẫu lỗi)
Defect Summary 01,缺陷摘要01,Tóm tắt lỗi 01
Defect Summary 02,缺陷摘要02,Tóm tắt lỗi 02
Defective Quantity Level,缺陷数量级别,Cấp độ số lượng lỗi
Define Size,定义尺寸,Xác định kích thước
Delivered Quantity,交付数量,Số lượng đã giao
Denied Field ID,拒绝字段ID,ID trường không hợp lệ
Details 3 Additional Information,详情附加信息3,Thông tin chi tiết bổ sung3
Details 3 Information,详情信息3,Thông tin chi tiết3
Details 3 Score %,详情分数3%,Chi tiết Điểm3 %
Details 4 Additional Information,详情附加信息4,Thông tin chi tiết bổ sung4
Details 4 Information,详情信息4,Thông tin chi tiết4
Details 4 Score %,详情分数4%,Chi tiết Điểm4 %
Details 5 Additional Information,详情附加信息5,Thông tin chi tiết bổ sung5
Details 5 Information,详情信息5,Thông tin chi tiết5
Details 5 Score %,详情分数5%,Chi tiết Điểm5 %
Details 2 Additional Information,详情附加信息2,Thông tin chi tiết bổ sung2
Details 2 Information,详情信息2,Thông tin chi tiết2
Details 2 Score %,详情分数2%,Chi tiết Điểm2 %
Details Additional Information,详情附加信息,Thông tin chi tiết bổ sung
Details Information,详情信息,Thông tin chi tiết
Details Score %,详情分数%,Chi tiết Điểm %
Detele Barcode Scanned,删除条形码扫描,Xóa mã vạch đã quét
Disclaimer for Auditor,审核员免责声明,Miễn trừ trách nhiệm (Kiểm toán)
Disclaimer for Partner,合作伙伴免责声明,Miễn trừ trách nhiệm (Đối tác)
Disclaimer for factory,工厂免责声明,Miễn trừ trách nhiệm (Nhà máy)
Disclaimer for inspector,检验员免责声明,Miễn trừ trách nhiệm (Thanh tra)
Display On Cover,显示在封面上,Hiển thị trên bìa
Displaying %from% to %to% of %columnCount%,显示%columnCount%的%from%到%to%,Hiển thị %from% - %to% trong %columnCount%
Disposition,处置,Hướng giải quyết
Doc. Status,文件状态,Trạng thái tài liệu
Download QC pack,下载QC包,Tải xuống gói QC
Draft,草稿,Bản nháp
Duplicate Window,复制窗口,Nhân bản cửa sổ
EAN Code Report,EAN代码报告,Báo cáo mã EAN
EAN Code Summary,EAN代码摘要,Tóm tắt mã EAN
Effective from,生效日期,Có hiệu lực từ
Effective to,失效日期,Có hiệu lực đến
Enable Abort Inspection,启用中止检验,Cho phép hủy kiểm tra
Enabled,已启用,Đã bật
Estimated Effort (Hours),预计工时（小时）,Thời gian ước tính (giờ)
Exception,例外,Ngoại lệ
Exclude in Overall Result Calculation,在整体结果计算中排除,Loại trừ khỏi kết quả chung
Expire After (Months),有效期（月）,Hết hạn sau (tháng)
Expiry Date Basis,到期日依据,Cơ sở ngày hết hạn
Export,导出,Xuất
Export to excel,导出为Excel,Xuất sang Excel
Facility Type,设施类型,Loại hình cơ sở
Factory Audit Address Lookup by Factory,按工厂查找工厂审核地址,Tra cứu địa chỉ kiểm toán nhà máy theo nhà máy
Factory Audit Template Lookup,工厂审核模板查找,Tra cứu mẫu kiểm toán nhà máy
Factory Auditor Lookup,工厂审核员查找,Tra cứu kiểm toán viên nhà máy
Factory Disclaimer,工厂免责声明,Tuyên bố miễn trừ trách nhiệm của nhà sản xuất
Factory ID,工厂ID,ID nhà máy
Factory Information,工厂信息,Thông tin nhà máy
Factory Lookup,工厂查找,Tra cứu nhà máy
Factory Sign Date,工厂签署日期,Ngày ký (Nhà máy)
Factory Signature,工厂签名,Chữ ký nhà máy
Fail Qty,不合格数量,Số lượng không đạt
Field ID,字段ID,ID trường
File,文件,Tệp
File Category,文件类别,Danh mục tệp
File Name,文件名称,Tên tệp
File No.,文件编号,Số hiệu tệp
File Type,文件类型,Loại tệp
Files,文件,Tệp
Fixed Sample Size,固定样本大小,Cỡ mẫu cố định
Flag,标记,Gắn cờ
Flagged,已标记,Đã gắn cờ
Follow,关注,Theo dõi
Follow-up Audit,跟进审核,Kiểm toán hậu kiểm
From Score(>=),分数开始于（>=）,Từ điểm số (>=)
GPS Coordinate Lat,GPS坐标纬度,Vĩ độ GPS
GPS Coordinate Lng,GPS坐标经度,Kinh độ GPS
GPS coordinate Lat,GPS坐标纬度,Vĩ độ GPS
GPS coordinate Lng,GPS坐标经度,Kinh độ GPS
General,常规,Tổng quan
Hierarchy,层级,Phân cấp
"If the Inspection Report Template is updated, the Sampling Rule, Test Items and Requirements would be changed. Are you sure you want to continue?",如果更新检验报告模板，抽样规则、测试项目和要求将被更改。您确定要继续吗？,"Nếu cập nhật Mẫu báo cáo, các thiết lập về Quy tắc lấy mẫu, Mục kiểm tra và Yêu cầu sẽ thay đổi. Bạn có chắc chắn muốn tiếp tục?"
Image Type Lookup,图片类型查找,Tra cứu loại hình ảnh
Images,图片,Hình ảnh
Images/Attachments,图片/附件,Hình ảnh/Tệp đính kèm
In Review,审核中,Đang xem xét
Inactive,未启用,Không hoạt động
Initialize CPM,初始化CPM,Khởi tạo CPM
Initiated,已启动,Đã khởi tạo
Inner GTIN,内部GTIN,GTIN bên trong
Inspected Assortment Quantity,已检验分类数量,Số lượng phân loại đã kiểm tra
Inspected Carton,已检验纸箱,Thùng carton đã kiểm tra
Inspected Carton Quantity,已检验纸箱数量,Số lượng thùng carton đã kiểm tra
Inspection Booking,检验预订,Đặt lịch kiểm tra
Inspection Booking Address Lookup by Factory,按工厂查找检验预订地址,Tra cứu địa chỉ đặt lịch kiểm tra theo nhà máy
Inspection Booking No,检验预订编号,Mã đặt lịch kiểm tra
Inspection Booking Parties Lookup,检验预订方查找,Tra cứu thông tin các bên đặt lịch kiểm tra
Inspection Comments,检验注释,Nhận xét kiểm tra
Inspection Details,检验详情,Chi tiết kiểm tra
Inspection Level,检验级别,Cấp độ kiểm tra
Inspection Method,检验方法,Phương pháp kiểm tra
Inspection Procedure,检验程序,Quy trình kiểm tra
Inspection Report Address Lookup by Factory,按工厂查找检验报告地址,Tra cứu địa chỉ báo cáo kiểm tra theo nhà máy
Inspection Report No.,检验报告编号,Mã báo cáo kiểm tra
Inspection Report Template Lookup,检验报告模板查找,Tra cứu mẫu báo cáo kiểm tra
Inspection Report Templete Lookup,检验报告模板查找,Tra cứu mẫu báo cáo kiểm tra
Inspection Result,检验结果,Kết quả kiểm tra
Inspection Result per Color/Size,每个颜色/尺寸的检验结果,Kết quả kiểm tra theo màu sắc/kích thước
Inspection Summary,检验摘要,Tổng hợp kết quả kiểm tra
Inspection Template,检验模板,Mẫu kiểm tra
Inspection Template Lookup,检验模板查找,Tra cứu mẫu kiểm tra
Inspection Template Name,检验模板名称,Tên mẫu kiểm tra
Inspection Templete Lookup,检验模板查找,Tra cứu mẫu kiểm tra
Inspector Disclaimer,检验员免责声明,Miễn trừ trách nhiệm (Thanh tra)
Inspector Disclaimer Acceptance,检验员免责声明接受,Chấp nhận miễn trừ
Inspector Sign Date,检验员签署日期,Ngày ký (Thanh tra)
Item Color Lookup,项目颜色查找,Tra cứu màu sắc sản phẩm
Item Details,项目详情,Chi tiết sản phẩm
Item Size Lookup,项目尺寸查找,Tra cứu kích thước sản phẩm
Item Tags,项目标签,Thẻ sản phẩm
Item Type,项目类型,Loại sản phẩm
Items By Color/Size,按颜色/尺寸分类的项目,Sản phẩm theo màu sắc/kích cỡ
Items by Color/Size,按颜色/尺寸分类的项目,Sản phẩm theo màu sắc/kích cỡ
Last Modified by,最后修改者,Sửa đổi lần cuối bởi
Latest CAPA,最新CAPA,CAPA mới nhất
Legend,图例,Chú giải
Link by,关联,Liên kết bởi
Linkage Type,关联类型,Loại liên kết
Linkage to Inspection,关联到检验,Liên kết với Kiểm tra
Linked Documents,关联文件,Tài liệu liên kết
Lot No.,批号,Mã lô
Mandatory,必填,Bắt buộc
Mandatory field(s) is missing for marking the Inspection Booking(s) to scheduled.,标记检验预订为已排期时缺少必填字段。,"Vui lòng nhập các trường bắt buộc để chuyển trạng thái Đặt lịch sang ""Đã lên lịch""."
Mark as,标记为,Đánh dấu là
Max. Score (Total),最高分数（总计）,Điểm tối đa (Tổng điểm)
Maximum Score,最高分数,Điểm tối đa
Meas.,测量,Số đo
Meas. AQL (Critical),测量AQL（严重）,AQL đo (Nghiêm trọng)
Meas. AQL (Major),测量AQL（主要）,AQL đo (Lớn)
Meas. AQL (Minor),测量AQL（次要）,AQL đo (Nhỏ)
Meas. Actual Sample Size,测量实际样本大小,Cỡ mẫu đo thực tế
Meas. Calculated Sample Size,测量计算样本大小,Cỡ mẫu đo dự tính
Meas. Critical (Acceptable Defects),测量严重（可接受缺陷）,Lỗi đo nghiêm trọng (Cho phép)
Meas. Critical (Actual Defects),测量严重（实际缺陷）,Lỗi đo nghiêm trọng (Thực tế)
Meas. Critical (Calculated Defects),测量严重（计算缺陷）,Lỗi đo nghiêm trọng (Dự tính)
Meas. Inspection Level,测量检验级别,Cấp độ kiểm tra đo
Meas. Major (Acceptable Defects),测量主要（可接受缺陷）,Lỗi đo lớn (Cho phép)
Meas. Major (Actual Defects),测量主要（实际缺陷）,Lỗi đo lớn (Thực tế)
Meas. Major (Calculated Defects),测量主要（计算缺陷）,Lỗi đo lớn (Dự tính)
Meas. Minor (Acceptable Defects),测量次要（可接受缺陷）,Lỗi đo nhỏ (Cho phép)
Meas. Minor (Actual Defects),测量次要（实际缺陷）,Lỗi đo nhỏ (Thực tế)
Meas. Minor (Calculated Defects),测量次要（计算缺陷）,Lỗi đo nhỏ (Dự tính)
Measurement Result by Size by Color,按尺寸按颜色分类的测量结果,Kết quả đo theo kích thước và màu sắc
Measurement by Size by Color,按尺寸按颜色分类的测量,Đo theo kích thước và màu sắc
Measurements,测量,Số đo
Mixed,混合,Hỗn hợp
Mobile Activities,移动活动,Hoạt động di động
Mobile App Settings,移动应用程序设置,Cài đặt ứng dụng
Mobile Inspector App Settings,移动检验员应用程序设置,Cài đặt ứng dụng Mobile Inspector
More,更多,Xem thêm
Multi-Pack,多包装,Đóng gói hỗn hợp
Name of Partner Representative,合作伙伴代表姓名,Tên người đại diện đối tác
New Audit,新建审核,Kiểm toán mới
New Audit Template,新建审核模板,Mẫu kiểm toán mới
New CAPA Plan,新建CAPA计划,Kế hoạch CAPA mới
New Capa Plan,新建Capa计划,Kế hoạch Capa mới
New Corrective Action Plans,新建纠正措施计划,Kế hoạch khắc phục mới
New Inspect Report,新建检验报告,Báo cáo kiểm tra mới
New Inspection Booking,新建检验预订,Đặt lịch kiểm tra mới
New Inspection Report,新建检验报告,Báo cáo kiểm tra mới
New Line,新行,Dòng mới
New Quality Plan Template,新建质量计划模板,Mẫu kế hoạch chất lượng mới
No access right to mark the Inspection Booking to %1$s.,无权限将检验预订标记为%1$s。,Không có quyền đánh dấu đặt lịch là %1$s
No access right to remove the Workflow status from the Inspection Booking.,无权限从检验预订中删除工作流状态。,Không có quyền xóa trạng thái quy trình
No access right to update the Inspection Booking as it''s marked as %1$s.,无权限更新检验预订，因为它已标记为%1$s。,Không có quyền cập nhật lịch đã đánh dấu %1$s
No access right to update the Inspection Booking.,无权限更新检验预订。,Không có quyền cập nhật lịch kiểm tra
No. of Attachments,附件数量,Số tệp đính kèm
No. of Cartons,纸箱数量,Số thùng carton
Not Available,不可用,Không khả dụng
Not Packed Qty,未包装数量,Số lượng chưa đóng gói
Notes,备注,Ghi chú
Notes / Instructions,备注/说明,Ghi chú / Hướng dẫn
Number of Not Packed Cartons,未包装纸箱数量,Số thùng chưa đóng gói
Number of Packed Cartons,已包装纸箱数量,Số thùng đã đóng gói
Object,对象,Đối tượng
Observations / Comments,观察/注释,Nhận xét/Bình luận
Official,正式,Chính thức
"Only one VPO Shipment Item could be included into one ""By Item"" Inspection Report.",一个“按项目”检验报告只能包含一个VPO装运项目。,"Chỉ có thể bao gồm một mặt hàng trong lô hàng VPO vào một báo cáo kiểm tra ""Theo mặt hàng""."
"Only sample measurement with size detail could be updated into the Measurement Result table, please enter the size.",只有带尺寸详情的样本测量才能更新到测量结果表，请输入尺寸。,"Chỉ có kết quả đo mẫu kèm chi tiết kích thước mới được cập nhật vào bảng Kết quả đo, vui lòng nhập kích thước."
Order Carton Quantity per Color/Size,每个颜色/尺寸的订单纸箱数量,Số thùng đặt hàng (Màu/Size)
Order Quantity per Color/Size,每个颜色/尺寸的订单数量,Số lượng đặt hàng (Màu/Size)
Other,其他,Khác
Other Attachments & Comments,其他附件和注释,Các tệp đính kèm và bình luận khác
Others,其他,Khác
Others Table,其他表格,Bảng Khác
Outer GTIN,外部GTIN,GTIN bên ngoài
Overall Defect Rate,整体缺陷率,Tỷ lệ lỗi tổng thể
Overall Disposition,整体处置,Quyết định tổng thể
Packed Qty,已包装数量,Số lượng đóng gói
Packed Qty in Carton,纸箱中已包装数量,Số lượng đóng gói trong thùng
Packing Defect Summary,包装缺陷摘要,Tóm tắt lỗi đóng gói
Packing Defects,包装缺陷,Lỗi đóng gói
Packing Details,包装详情,Chi tiết đóng gói
Packing Name,包装名称,Tên đóng gói
Packing Summary,包装摘要,Tóm tắt đóng gói
Packing Type,包装类型,Loại đóng gói
Parent Type,父类型,Cấp cha
Parties,各方,Các bên
Partner Disclaimer,合作伙伴免责声明,Miễn trừ trách nhiệm (Đối tác)
Partner Disclaimer Acceptance,合作伙伴免责声明接受,Chấp nhận Miễn trừ trách nhiệm (Đối tác)
Partner ID,合作伙伴ID,ID đối tác
Partner Information,合作伙伴信息,Thông tin đối tác
Partner Signature,合作伙伴签名,Chữ ký của đối tác
Partner Signed Location,合作伙伴签署地点,Địa điểm ký (Đối tác)
Partner Signed On,合作伙伴签署日期,Ngày ký (Đối tác)
Partner Type,合作伙伴类型,Loại đối tác
Pending Approval,待批准,Đang chờ phê duyệt
Planned Inspection Date,计划检验日期,Ngày kiểm tra dự kiến
Planned Inspection Date must be two days after the current date.,计划检验日期必须是当前日期之后的两天。,Ngày kiểm tra dự kiến ​​phải cách ngày hiện tại hai ngày.
Planned Inspection Dates,计划检验日期,Ngày dự kiến ​​kiểm tra
Planned Inspection End Date,计划检验结束日期,Ngày kết thúc dự kiến
Planned Inspection Start Date,计划检验开始日期,Ngày bắt đầu dự kiến
Please select at least one field to batch update.,请至少选择一个字段进行批量更新。,Vui lòng chọn ít nhất một trường để cập nhật hàng loạt.
Please select at least one record to batch update.,请至少选择一条记录进行批量更新。,Vui lòng chọn ít nhất một bản ghi để cập nhật hàng loạt.
Please select the Size and Color first.,请先选择尺寸和颜色。,Vui lòng chọn Kích thước và Màu sắc trước.
Print,打印,In
Priority,优先级,Ưu tiên
Produced Qty,生产数量,Số lượng sản xuất
Product Hierarchy,产品层级,Phân cấp sản phẩm
Production Ratio (%),生产比率（%）,Tỷ lệ sản xuất (%)
Quality Plan / Section,质量计划/部分,Kế hoạch chất lượng / Phần
Quality Plan Defect Details,质量计划缺陷详情,Chi tiết lỗi trong kế hoạch chất lượng
Quality Plan Sections,质量计划部分,Các phần của Kế hoạch Chất lượng
